idx,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,samples,SR,session_id,notes
12, -1.02942955493927, -0.03723657503724098, 0.028684884309768677, -1.7206529378890991, -0.04282562807202339, 1.8128448724746704, 0.041576191782951355, 0.0, 80896, 16000, 1, Noisy lab talk and finger
13, -0.872115433216095, -0.03663225471973419, 0.00929196272045374, -1.7208009958267212, -0.04282298684120178, 1.812841773033142, 0.04162342846393585, 0.0, 80896, 16000, 1, Noisy lab talk and finger
14, -0.6737125515937805, -0.014970502816140652, 0.0029195125680416822, -1.7245432138442993, -0.042932745069265366, 1.8130685091018677, 0.01760522648692131, 0.0, 80896, 16000, 1, Noisy lab talk and finger
15, -0.5189924240112305, -0.013894639909267426, 0.005188303533941507, -1.7271817922592163, -0.04294440150260925, 1.809821605682373, 0.017633989453315735, 0.0, 80896, 16000, 1, Noisy lab talk and finger
16, -0.39870086312294006, -0.010538972914218903, 0.007315859664231539, -1.7332607507705688, -0.04293335601687431, 1.8092617988586426, 0.01763862371444702, 0.0, 80896, 16000, 1, Noisy lab talk and finger
17, -0.33064135909080505, -0.011900133453309536, -0.008996994234621525, -1.7327260971069336, -0.04287654161453247, 1.809212327003479, 0.01763175055384636, 0.0, 80896, 16000, 1, Noisy lab talk and finger
18, -0.256400465965271, -0.011817466467618942, -0.010165024548768997, -1.7325817346572876, -0.0428859144449234, 1.8093265295028687, 0.017637256532907486, 0.0, 80896, 16000, 1, Noisy lab talk and finger
19, -0.14707817137241364, -0.011662543751299381, -0.012424667365849018, -1.7359870672225952, -0.04333383962512016, 1.8078891038894653, 0.01782715879380703, 0.0, 80896, 16000, 1, Noisy lab talk and finger
20, -0.012797310017049313, -0.010841992683708668, -0.01171718817204237, -1.7401520013809204, -0.04312141612172127, 1.8061754703521729, 0.01832241378724575, 0.0, 80896, 16000, 2, noisy lab
21, 0.09244805574417114, -0.014178166165947914, -0.010642573237419128, -1.739579439163208, -0.04314427450299263, 1.8070876598358154, 0.018640590831637383, 0.0, 80896, 16000, 2, noisy lab
22, 0.19060003757476807, -0.014321977272629738, -0.008055374026298523, -1.7395747900009155, -0.04314161837100983, 1.8070988655090332, 0.018723605200648308, 0.0, 80896, 16000, 2, noisy lab
23, 0.3065415322780609, -0.014370226301252842, -0.007976549677550793, -1.7395687103271484, -0.04313408210873604, 1.8070130348205566, 0.0211772620677948, 0.0, 80896, 16000, 2, noisy lab
24, 0.4015164375305176, -0.018165653571486473, -0.009429393336176872, -1.7361363172531128, -0.043140292167663574, 1.8070926666259766, 0.02097713202238083, 0.0, 80896, 16000, 2, noisy lab
25, 0.48095211386680603, -0.017225338146090508, -0.008139642886817455, -1.7363901138305664, -0.04312429204583168, 1.8072938919067383, 0.021365664899349213, 0.0, 80896, 16000, 2, noisy lab
26, 0.6322439908981323, -0.016953233629465103, -0.008633134886622429, -1.7364503145217896, -0.04312928766012192, 1.8072938919067383, 0.021379128098487854, 0.0, 80896, 16000, 2, noisy lab
27, 0.7899444699287415, -0.016329249367117882, -0.009712575934827328, -1.7351207733154297, -0.04314366728067398, 1.808387279510498, 0.021399591118097305, 0.0, 80896, 16000, 2, noisy lab
28, 0.5686911344528198, -0.02422190085053444, -0.004985574167221785, -1.735013723373413, -0.043325114995241165, 1.805252194404602, -0.02117764763534069, 0.0, 80896, 16000, 2, noisy lab
29, 0.3686215877532959, -0.04186353087425232, -0.022555220872163773, -1.7278841733932495, -0.043327976018190384, 1.80559504032135, 0.00019383100152481347, 0.0, 80896, 16000, 2, noisy lab
30, 0.29866406321525574, -0.04172041267156601, -0.021307338029146194, -1.7276942729949951, -0.04332175850868225, 1.8056082725524902, 0.0006012181402184069, 0.0, 80896, 16000, 3, 
31, 0.15213099122047424, -0.04152800887823105, -0.025209534913301468, -1.7274346351623535, -0.04332659766077995, 1.8064841032028198, 0.05448159947991371, 0.0, 80896, 16000, 3, 
32, 0.031227124854922295, -0.041656333953142166, -0.03023284114897251, -1.726122498512268, -0.0433560274541378, 1.8064894676208496, 0.05392017215490341, 0.0, 80896, 16000, 3, 
33, -0.11619845032691956, -0.041254475712776184, -0.032021164894104004, -1.7176892757415771, -0.04331216961145401, 1.8106822967529297, 0.06459587812423706, 0.0, 80896, 16000, 3, 
34, -0.2390747368335724, -0.04036615416407585, -0.036335304379463196, -1.7175136804580688, -0.04338958114385605, 1.8098270893096924, 0.06460808962583542, 0.0, 80896, 16000, 3, 
35, -0.37062349915504456, -0.04072990640997887, -0.04434322938323021, -1.7160919904708862, -0.04338958114385605, 1.810286283493042, 0.06465185433626175, 0.0, 80896, 16000, 3, 
36, -0.43843477964401245, -0.040587469935417175, -0.03678808733820915, -1.7166364192962646, -0.04337332770228386, 1.8102859258651733, 0.06464897096157074, 0.0, 80896, 16000, 3, 
37, -0.5828373432159424, -0.03965786099433899, -0.006099125370383263, -1.7166416645050049, -0.043290235102176666, 1.8102874755859375, 0.0643894225358963, 0.0, 80896, 16000, 3, 
38, -0.7708953619003296, -0.040464986115694046, 0.07547130435705185, -1.7160682678222656, -0.04329502582550049, 1.8104902505874634, 0.06438279151916504, 0.0, 80896, 16000, 3, 
39, -1.0523313283920288, -0.037036530673503876, 0.12717466056346893, -1.715466022491455, -0.042944278568029404, 1.810981035232544, 0.06587768346071243, 0.0, 80896, 16000, 3, 
40, -1.0453673601150513, -0.024272657930850983, 0.12517394125461578, -1.6597481966018677, -0.038985054939985275, 1.6708375215530396, 0.06778557598590851, 0.0, 80896, 16000, 4, 
41, -1.168624997138977, -0.023990819230675697, 0.1464211791753769, -1.6597404479980469, -0.03932347893714905, 1.6708484888076782, 0.06786342710256577, 0.0, 80896, 16000, 4, 
42, -1.058648943901062, -0.02332744374871254, 0.14773812890052795, -1.6597696542739868, -0.03932545334100723, 1.6708396673202515, 0.06865354627370834, 0.0, 80896, 16000, 4, 
43, -0.9331378936767578, -0.02283335104584694, 0.14809052646160126, -1.659311056137085, -0.0393240861594677, 1.6708459854125977, 0.0702354684472084, 0.0, 80896, 16000, 4, 
44, -0.8123941421508789, -0.02205624058842659, 0.1489320546388626, -1.659438967704773, -0.03932870924472809, 1.670823335647583, 0.0702410563826561, 0.0, 80896, 16000, 4, 
45, -0.6978100538253784, -0.0206670630723238, 0.15326660871505737, -1.6595278978347778, -0.03932837024331093, 1.671212911605835, 0.07019050419330597, 0.0, 80896, 16000, 4, 
46, -0.5739939212799072, -0.019622230902314186, 0.15590564906597137, -1.659443736076355, -0.039326123893260956, 1.671224594116211, 0.07022292912006378, 0.0, 80896, 16000, 4, 
47, -0.44183874130249023, -0.017328966408967972, 0.15921522676944733, -1.659351110458374, -0.03932839632034302, 1.671241283416748, 0.06799649447202682, 0.0, 80896, 16000, 4, 
48, -0.32288864254951477, -0.01762455888092518, 0.16246460378170013, -1.6570907831192017, -0.03933020308613777, 1.685990571975708, 0.06656429171562195, 0.0, 80896, 16000, 4, 
49, -0.18112489581108093, -0.018511425703763962, 0.16980640590190887, -1.6564995050430298, -0.03932827338576317, 1.6868144273757935, 0.0665440484881401, 0.0, 80896, 16000, 4, 
50, -0.07367144525051117, -0.015249158255755901, 0.16198508441448212, -1.6600722074508667, -0.03970647603273392, 1.6860986948013306, 0.06759009510278702, 0.0, 80896, 16000, 5, 
51, -0.016210446134209633, -0.01481237169355154, 0.16233393549919128, -1.660093069076538, -0.03971127048134804, 1.6860865354537964, 0.06765610724687576, 0.0, 80896, 16000, 5, 
52, 0.06543956696987152, -0.014774552546441555, 0.1637171506881714, -1.6601015329360962, -0.03971853107213974, 1.685996413230896, 0.06763952970504761, 0.0, 80896, 16000, 5, 
53, 0.16665039956569672, -0.014430764131247997, 0.16803692281246185, -1.660342812538147, -0.03970647603273392, 1.6859581470489502, 0.0676678940653801, 0.0, 80896, 16000, 5, 
54, 0.2772832214832306, -0.014266865327954292, 0.17201371490955353, -1.660367727279663, -0.039709120988845825, 1.6859718561172485, 0.0676678940653801, 0.0, 80896, 16000, 5, 
55, 0.35601532459259033, -0.01315887738019228, 0.1737244427204132, -1.660395622253418, -0.039704591035842896, 1.6859773397445679, 0.06768159568309784, 0.0, 80896, 16000, 5, 
56, 0.437420517206192, -0.010106929577887058, 0.17656056582927704, -1.6604094505310059, -0.03970779851078987, 1.685996413230896, 0.0676589161157608, 0.0, 80896, 16000, 5, 
57, 0.48068100214004517, -0.009420208632946014, 0.17309638857841492, -1.6604411602020264, -0.039707086980342865, 1.6859978437423706, 0.0676707848906517, 0.0, 80896, 16000, 5, 
58, 0.588540256023407, -0.0062779816798865795, 0.17729537189006805, -1.661109209060669, -0.03969534859061241, 1.6860804557800293, 0.06767858564853668, 0.0, 80896, 16000, 5, 
59, 0.4795333743095398, -0.009423205628991127, 0.19156195223331451, -1.6612589359283447, -0.04001052305102348, 1.685940146446228, 0.08635441213846207, 0.0, 80896, 16000, 5, 
60, 0.37174099683761597, -0.019801530987024307, 0.19037741422653198, -1.654251217842102, -0.040108196437358856, 1.6860271692276, 0.08636105060577393, 0.0, 80896, 16000, 6, 
61, 0.27174144983291626, -0.02832997776567936, 0.18400953710079193, -1.6534806489944458, -0.040144748985767365, 1.6860244274139404, 0.08636824041604996, 0.0, 80896, 16000, 6, 
62, 0.20217768847942352, -0.02738199383020401, 0.18085788190364838, -1.6540251970291138, -0.04045369103550911, 1.6860113143920898, 0.08637535572052002, 0.0, 80896, 16000, 6, 
63, 0.12585948407649994, -0.02750396728515625, 0.17255312204360962, -1.6541993618011475, -0.0404515415430069, 1.6858376264572144, 0.08673974871635437, 0.0, 80896, 16000, 6, 
64, -0.01961107924580574, -0.027083223685622215, 0.17087869346141815, -1.6540764570236206, -0.04042840003967285, 1.6859002113342285, 0.15206481516361237, 0.0, 80896, 16000, 6, 
65, -0.14472687244415283, -0.02756495401263237, 0.16831065714359283, -1.6540828943252563, -0.04044618830084801, 1.6862550973892212, 0.1557401716709137, 0.0, 80896, 16000, 6, 
66, -0.27367112040519714, -0.027396900579333305, 0.16513460874557495, -1.65409517288208, -0.04045021906495094, 1.6862573623657227, 0.15578888356685638, 0.0, 80896, 16000, 6, 
67, -0.39496564865112305, -0.02518591284751892, 0.1631857007741928, -1.6543877124786377, -0.04045092687010765, 1.6856857538223267, 0.15534448623657227, 0.0, 80896, 16000, 6, 
68, -0.49137619137763977, -0.021964555606245995, 0.15967212617397308, -1.6539055109024048, -0.040459372103214264, 1.6859725713729858, 0.09570341557264328, 0.0, 80896, 16000, 6, 
69, -0.661417543888092, -0.018854623660445213, 0.15585261583328247, -1.6537261009216309, -0.04067564010620117, 1.6860750913619995, 0.09569700062274933, 0.0, 80896, 16000, 6, 
70, -0.7316761612892151, -0.016993533819913864, 0.15484218299388885, -1.6540812253952026, -0.040680062025785446, 1.6860216856002808, 0.09857305884361267, 0.0, 80896, 16000, 7, 
71, -0.9112517237663269, -0.015848638489842415, 0.15599267184734344, -1.645351529121399, -0.04054692015051842, 1.6880464553833008, 0.12469739466905594, 0.0, 80896, 16000, 7, 
72, -1.0651127099990845, 0.002824886702001095, 0.17306292057037354, -1.647829532623291, -0.040544163435697556, 1.6882694959640503, 0.12469878047704697, 0.0, 80896, 16000, 7, 
73, -1.1294260025024414, 0.0038772160187363625, 0.1748429536819458, -1.6478408575057983, -0.040549565106630325, 1.688301920890808, 0.12467014044523239, 0.0, 80896, 16000, 7, 
74, -1.0221784114837646, 0.005377791356295347, 0.17058153450489044, -1.6480587720870972, -0.040544293820858, 1.6882785558700562, 0.12469461560249329, 0.0, 80896, 16000, 7, 
75, -0.9481269121170044, 0.008065376430749893, 0.1754414141178131, -1.6483718156814575, -0.0405428446829319, 1.6882785558700562, 0.1246807724237442, 0.0, 80896, 16000, 7, 
76, -0.8097519874572754, 0.008447593078017235, 0.17534513771533966, -1.648534893989563, -0.040544770658016205, 1.6882810592651367, 0.12481386959552765, 0.0, 80896, 16000, 7, 
77, -0.7195292711257935, 0.008571830578148365, 0.17526580393314362, -1.6483960151672363, -0.04054560139775276, 1.6883983612060547, 0.12468962371349335, 0.0, 80896, 16000, 7, 
78, -0.6599429845809937, 0.00890651810914278, 0.1775449812412262, -1.648517370223999, -0.040544770658016205, 1.6884019374847412, 0.12469153106212616, 0.0, 80896, 16000, 7, 
79, -0.5310032963752747, 0.009468263946473598, 0.1762336641550064, -1.6485843658447266, -0.04054344817996025, 1.6882416009902954, 0.12592560052871704, 0.0, 80896, 16000, 7, 
80, -0.4280149042606354, 0.009208137169480324, 0.17201946675777435, -1.6485971212387085, -0.040544163435697556, 1.6882550716400146, 0.1252329796552658, 0.0, 80896, 16000, 8, 
