Iteration,q_0,q_3,joint,MSE
0,-1.5708,-0.7,0,3.7687513690849026
0,-1.5708,-0.7,3,0.07329960452611861
0,-1.4708,-2.3000000000000003,0,1.4304504010167216
0,-1.4708,-2.3000000000000003,3,0.19920156141270542
0,-1.4708,-2.2,0,2.46053084414255
0,-1.4708,-2.2,3,0.2874764166034856
0,-1.4708,-0.8999999999999999,0,2.1293828210995454
0,-1.4708,-0.8999999999999999,3,0.4757822399543742
0,-1.3707999999999998,-1.0,0,0.9381720685743081
0,-1.3707999999999998,-1.0,3,0.03366716671070148
0,-1.3700000000000006,-2.8000000000000003,0,2.687001701861974
0,-1.3700000000000006,-2.8000000000000003,3,0.0364524340729667
0,-1.37,-1.8000000000000005,0,0.9040510000323636
0,-1.37,-1.8000000000000005,3,0.017456378165266333
0,-1.2707999999999997,-1.4,0,0.01812860234392754
0,-1.2707999999999997,-1.4,3,0.3442058067246922
0,-1.2707999999999997,-0.6,0,0.04175905451279233
0,-1.2707999999999997,-0.6,3,0.15472210103300787
0,-1.2707999999999997,-0.4,0,0.23081460608476376
0,-1.2707999999999997,-0.4,3,0.1723318704406398
0,-1.1707999999999996,-1.4,0,0.021227482965031064
0,-1.1707999999999996,-1.4,3,0.26679150846552396
0,-1.1707999999999996,-0.4,0,0.2170979621404006
0,-1.1707999999999996,-0.4,3,0.17901333242339879
0,-1.17,-2.0000000000000004,0,1.009988774134362
0,-1.17,-2.0000000000000004,3,0.016785871597010595
0,-1.0707999999999995,-2.3000000000000003,0,0.9208309648666992
0,-1.0707999999999995,-2.3000000000000003,3,0.047410547705950594
0,-0.9707999999999996,-1.5000000000000002,0,1.9209500573047709
0,-0.9707999999999996,-1.5000000000000002,3,0.244799054317815
0,-0.9707999999999996,-0.8999999999999999,0,1.1866810219258284
0,-0.9707999999999996,-0.8999999999999999,3,0.10094245466538863
0,-0.9707999999999996,-0.3,0,0.3830955216088537
0,-0.9707999999999996,-0.3,3,0.3403601890410728
0,-0.9700000000000002,-2.7,0,2.211936588651178
0,-0.9700000000000002,-2.7,3,0.021298968622515322
0,-0.8707999999999995,-1.2,0,0.9671770051762374
0,-0.8707999999999995,-1.2,3,0.18010970187171066
0,-0.8707999999999995,-0.6,0,0.05021403753200449
0,-0.8707999999999995,-0.6,3,0.13458857984266648
0,-0.8707999999999995,-0.4,0,0.13980934627189445
0,-0.8707999999999995,-0.4,3,0.15726977001238762
0,-0.7707999999999995,-2.5,0,1.1217420270979628
0,-0.7707999999999995,-2.5,3,0.012838854563068297
0,-0.7699999999999999,-2.1000000000000005,0,0.055190022947938205
0,-0.7699999999999999,-2.1000000000000005,3,0.03217110376400525
0,-0.6700000000000003,-2.7,0,1.609725473141053
0,-0.6700000000000003,-2.7,3,0.022374542842026262
0,-0.5707999999999996,-2.3000000000000003,0,0.4494458775779971
0,-0.5707999999999996,-2.3000000000000003,3,0.3185229814227235
0,-0.5707999999999996,-1.3,0,0.01357746760997712
0,-0.5707999999999996,-1.3,3,0.18985118399093495
0,-0.5707999999999996,-0.8999999999999999,0,0.861328309912207
0,-0.5707999999999996,-0.8999999999999999,3,0.24972071676533591
0,-0.4707999999999996,-2.3000000000000003,0,0.48104707960654286
0,-0.4707999999999996,-2.3000000000000003,3,0.15451251665592922
0,-0.4707999999999996,-1.3,0,0.01853594749343227
0,-0.4707999999999996,-1.3,3,0.17590738090818234
0,-0.4707999999999995,-2.5,0,0.7890087414280478
0,-0.4707999999999995,-2.5,3,0.014617336187241255
0,-0.3707999999999997,-2.4,0,0.2782187278115345
0,-0.3707999999999997,-2.4,3,0.4920276072271812
0,-0.3707999999999997,-2.3000000000000003,0,0.43253032194879415
0,-0.3707999999999997,-2.3000000000000003,3,0.28889143741544626
0,-0.3707999999999997,-0.7,0,0.9168933323308346
0,-0.3707999999999997,-0.7,3,0.5559296699467875
0,-0.3700000000000004,-2.8000000000000003,0,1.0202935727063815
0,-0.3700000000000004,-2.8000000000000003,3,0.03939074102230321
0,-0.37,-2.1000000000000005,0,0.049062991545121316
0,-0.37,-2.1000000000000005,3,0.064268546869799
0,-0.37,-1.6,0,0.004648172028664827
0,-0.37,-1.6,3,0.09599976680348046
0,-0.27,-1.9000000000000004,0,0.13786798400165728
0,-0.27,-1.9000000000000004,3,0.026884181674485877
0,-0.2699999999999999,-2.0000000000000004,0,0.3740467021883773
0,-0.2699999999999999,-2.0000000000000004,3,0.018209460826132937
0,-0.1707999999999997,-0.7,0,0.8453806929817926
0,-0.1707999999999997,-0.7,3,0.08840659680182837
0,-0.1707999999999997,-0.3,0,0.2033363834079368
0,-0.1707999999999997,-0.3,3,0.1354029177959964
0,-0.1707999999999995,-1.2,0,0.771085162190579
0,-0.1707999999999995,-1.2,3,0.029549683039550724
0,-0.1699999999999999,-2.2000000000000006,0,0.011760394845882463
0,-0.1699999999999999,-2.2000000000000006,3,0.0441636668538577
0,-0.0707999999999995,-0.7999999999999999,0,0.039383860044657076
0,-0.0707999999999995,-0.7999999999999999,3,0.09901259357978265
0,-0.0707999999999995,-0.4,0,0.5716860676750946
0,-0.0707999999999995,-0.4,3,0.08586366764110703
0,-0.0699999999999999,-1.8000000000000005,0,0.47362382693278504
0,-0.0699999999999999,-1.8000000000000005,3,0.01620632887041875
0,0.03,-1.7000000000000002,0,0.15262688517055006
0,0.03,-1.7000000000000002,3,0.029507206416740785
0,0.13,-1.8000000000000005,0,0.6251701824117496
0,0.13,-1.8000000000000005,3,0.017276567072653154
0,0.2292000000000005,-1.0,0,0.6558357606863844
0,0.2292000000000005,-1.0,3,0.04164121346780815
0,0.2292000000000005,-0.7999999999999999,0,0.031187513995772166
0,0.2292000000000005,-0.7999999999999999,3,0.07483834933608112
0,0.3292000000000005,-2.5,0,0.5937839215924225
0,0.3292000000000005,-2.5,3,0.01554756038010473
0,0.4292000000000003,-0.3,0,0.6430431793450111
0,0.4292000000000003,-0.3,3,0.07100861343271753
0,0.43,-1.9000000000000004,0,0.20575533395369824
0,0.43,-1.9000000000000004,3,0.029178411476596125
0,0.5292000000000003,-2.6,0,0.280395779667025
0,0.5292000000000003,-2.6,3,0.015277868885233905
0,0.5292000000000003,-2.4,0,0.20450725323367305
0,0.5292000000000003,-2.4,3,0.034660397621576085
0,0.5299999999999997,-2.7,0,0.7296838667955646
0,0.5299999999999997,-2.7,3,0.021929287836266884
0,0.6292000000000003,-2.4,0,0.19099320063794917
0,0.6292000000000003,-2.4,3,1.1778953167025301
0,0.6292000000000003,-1.1,0,0.03401256208320283
0,0.6292000000000003,-1.1,3,0.542849992159006
0,0.6292000000000003,-0.7,0,0.649356569526083
0,0.6292000000000003,-0.7,3,0.3879232860617067
0,0.6292000000000003,-0.5,0,0.035840440917415665
0,0.6292000000000003,-0.5,3,0.9587303075183927
0,0.6299999999999997,-2.7,0,0.7719792254193455
0,0.6299999999999997,-2.7,3,0.022732527374110575
0,0.7292000000000003,-2.3000000000000003,0,1.6740196207933944
0,0.7292000000000003,-2.3000000000000003,3,0.05159644998496133
0,0.73,-2.0000000000000004,0,0.8883906466255588
0,0.73,-2.0000000000000004,3,0.02776209644210294
0,0.73,-1.7000000000000002,0,0.17728569716974424
0,0.73,-1.7000000000000002,3,0.04518583061467608
0,0.8292000000000003,-1.5000000000000002,0,0.8444109618609212
0,0.8292000000000003,-1.5000000000000002,3,0.0393046951364038
0,0.8295999999999999,-1.8,0,0.040725793563918325
0,0.8295999999999999,-1.8,3,0.012603850774668168
0,0.9292000000000002,-0.8999999999999999,0,1.8997573340303047
0,0.9292000000000002,-0.8999999999999999,3,0.035458000377469545
0,0.9296,-2.3000000000000003,0,1.8696505760939155
0,0.9296,-2.3000000000000003,3,0.0598499398313866
0,0.9296,-2.1,0,0.04654473612983695
0,0.9296,-2.1,3,0.02828911773352983
