iteration,model_id,true_q0,true_q3,pred_q0,pred_q3
0,2,-0.9708,-0.3,-0.87538511,-0.35119653
0,2,-0.9708,-0.3,-1.0295683,-0.25212583
0,2,-0.9708,-0.3,-0.9518733,-0.60247898
0,2,-0.9708,-0.3,-0.95285004,-0.40156081
0,2,-0.9708,-0.3,-0.97675329,-0.50012815
0,2,-0.9708,-0.3,-1.0042011,-0.84215492
0,2,-0.9708,-0.3,-0.95945972,-0.38135454
0,2,-0.1708,-0.3,-0.30461642,-0.13357817
0,2,-0.1708,-0.3,-0.4445987,-0.54677832
0,2,-0.1708,-0.3,-0.4089171,-0.28168288
0,2,-0.1708,-0.3,-0.41290081,-0.5128895
0,2,-0.1708,-0.3,-0.25391683,-0.37634328
0,2,-0.1708,-0.3,-0.38372022,-0.53035635
0,2,-0.1708,-0.3,-0.18772469,-0.20825921
0,2,0.4292,-0.3,0.51869541,-0.14739661
0,2,0.4292,-0.3,0.59938884,-0.27747717
0,2,0.4292,-0.3,0.56775159,-0.30810547
0,2,0.4292,-0.3,0.27832207,-0.66865027
0,2,0.4292,-0.3,0.074436001,-0.74633539
0,2,0.4292,-0.3,0.40097743,-0.20673572
0,2,0.4292,-0.3,0.22700508,-0.65673101
0,2,-0.0708,-0.4,0.038111139,-0.15116422
0,2,-0.0708,-0.4,-0.2064392,-0.53855836
0,2,-0.0708,-0.4,-0.05115436,-0.46711579
0,2,-0.0708,-0.4,0.00030419219,-0.06122677
0,2,-0.0708,-0.4,0.092560828,-0.099865787
0,2,-0.0708,-0.4,0.031850178,-0.20822941
0,2,-0.0708,-0.4,-0.24816683,-0.63383299
0,2,-0.8708,-0.4,-0.87091392,-0.089370005
0,2,-0.8708,-0.4,-0.84854233,-0.32056615
0,2,-0.8708,-0.4,-1.0098661,-0.4258956
0,2,-0.8708,-0.4,-0.97547424,-0.45357391
0,2,-0.8708,-0.4,-0.95439339,-0.46193972
0,2,-0.8708,-0.4,-0.99487823,-0.29316542
0,2,-0.8708,-0.4,-0.84500521,-0.23359178
0,2,-1.1708,-0.4,-1.1485415,-0.45753106
0,2,-1.1708,-0.4,-1.0534611,-0.059541151
0,2,-1.1708,-0.4,-1.2338581,-0.69672006
0,2,-1.1708,-0.4,-1.2384288,-0.56062281
0,2,-1.1708,-0.4,-1.1279935,-0.46290204
0,2,-1.1708,-0.4,-1.138109,-0.33750713
0,2,-1.1708,-0.4,-1.2095994,-0.29907253
0,2,-1.2708,-0.4,-1.3703622,-0.62718928
0,2,-1.2708,-0.4,-1.3107517,-0.49887925
0,2,-1.2708,-0.4,-1.1592816,-0.34029946
0,2,-1.2708,-0.4,-1.1182251,-0.3495501
0,2,-1.2708,-0.4,-1.2687745,-0.60285348
0,2,-1.2708,-0.4,-1.3297266,-0.4257144
0,2,-1.2708,-0.4,-1.2621291,-0.41494384
0,2,0.6292,-0.5,0.40600026,-0.51524878
0,2,0.6292,-0.5,0.57809436,-0.29621121
0,2,0.6292,-0.5,0.66844279,-0.2351874
0,2,0.6292,-0.5,0.17361204,-0.92056233
0,2,0.6292,-0.5,0.89228022,-0.027617503
0,2,0.6292,-0.5,0.48632318,-0.547279
0,2,0.6292,-0.5,0.51329058,-0.56061673
0,2,-0.8708,-0.6,-0.93017215,-0.68182439
0,2,-0.8708,-0.6,-1.0074137,-0.89732111
0,2,-0.8708,-0.6,-0.90793735,-0.81218421
0,2,-0.8708,-0.6,-0.8395043,-0.66431898
0,2,-0.8708,-0.6,-0.84863502,-0.63617426
0,2,-0.8708,-0.6,-0.98774576,-0.76068896
0,2,-0.8708,-0.6,-0.95073098,-0.70371121
0,2,-1.2708,-0.6,-1.2703069,-0.68108559
0,2,-1.2708,-0.6,-1.2215159,-0.57769644
0,2,-1.2708,-0.6,-1.2065551,-0.62330592
0,2,-1.2708,-0.6,-1.2007769,-0.29283431
0,2,-1.2708,-0.6,-1.2455808,-0.62977093
0,2,-1.2708,-0.6,-1.3333746,-0.65106767
0,2,-1.2708,-0.6,-1.3031858,-0.65320671
0,2,-1.5708,-0.7,-1.4072131,-0.54793704
0,2,-1.5708,-0.7,-1.534333,-0.73285401
0,2,-1.5708,-0.7,-1.438983,-1.0195321
0,2,-1.5708,-0.7,-1.432693,-0.76655257
0,2,-1.5708,-0.7,-1.4781374,-0.77513385
0,2,-1.5708,-0.7,-1.5241652,-0.78375775
0,2,-1.5708,-0.7,-1.4228065,-0.47387764
0,2,-0.3708,-0.7,-0.17533286,-0.4754965
0,2,-0.3708,-0.7,-0.26901633,-0.70983815
0,2,-0.3708,-0.7,-0.35522562,-0.92821628
0,2,-0.3708,-0.7,-0.29833215,-0.85158932
0,2,-0.3708,-0.7,-0.40490487,-1.0488094
0,2,-0.3708,-0.7,-0.3484244,-0.78580517
0,2,-0.3708,-0.7,-0.10407965,-0.51692933
0,2,-0.1708,-0.7,-0.20213747,-1.0791016
0,2,-0.1708,-0.7,-0.11538321,-0.30313593
0,2,-0.1708,-0.7,-0.21525075,-0.86215633
0,2,-0.1708,-0.7,-0.14788736,-0.79669404
0,2,-0.1708,-0.7,-0.081469588,-0.66645044
0,2,-0.1708,-0.7,-0.10635396,-0.72502404
0,2,-0.1708,-0.7,-0.12140097,-0.80840367
0,2,0.6292,-0.7,0.28866374,-0.97892004
0,2,0.6292,-0.7,0.45760849,-0.82261372
0,2,0.6292,-0.7,0.27550998,-1.1705871
0,2,0.6292,-0.7,0.4804002,-1.0254079
0,2,0.6292,-0.7,0.30104652,-1.0052888
0,2,0.6292,-0.7,0.48241526,-0.65105724
0,2,0.6292,-0.7,0.15117846,-1.0598921
0,2,1.0292,-0.7,1.4433371,-0.74543196
0,2,1.0292,-0.7,0.79255623,-0.72468567
0,2,1.0292,-0.7,1.4883715,-1.8555301
0,2,1.0292,-0.7,1.1297982,-0.95338076
0,2,1.0292,-0.7,0.98953396,-1.1656344
0,2,1.0292,-0.7,1.0955908,-0.88953811
0,2,1.0292,-0.7,1.1367748,-1.0544375
0,2,1.2292,-0.7,1.213106,-0.52041411
0,2,1.2292,-0.7,1.0881606,-0.74918824
0,2,1.2292,-0.7,1.2260271,-0.97455263
0,2,1.2292,-0.7,1.1882614,-1.0989643
0,2,1.2292,-0.7,1.1609766,-0.58371592
0,2,1.2292,-0.7,1.0552565,-0.66429526
0,2,1.2292,-0.7,1.3678889,-0.95009625
0,2,1.5292,-0.7,1.1966801,-0.4778634
0,2,1.5292,-0.7,1.2848616,-1.0532218
0,2,1.5292,-0.7,1.2568074,-0.6495862
0,2,1.5292,-0.7,1.3664867,-0.95692116
0,2,1.5292,-0.7,1.076931,-0.74771941
0,2,1.5292,-0.7,1.1075735,-0.97066778
0,2,1.5292,-0.7,0.97512633,-0.80142367
0,2,0.2292,-0.8,0.25943995,-0.91877568
0,2,0.2292,-0.8,0.28036758,-0.93464929
0,2,0.2292,-0.8,0.16184224,-0.97894567
0,2,0.2292,-0.8,0.33258289,-0.9455021
0,2,0.2292,-0.8,0.4045302,-0.74463415
0,2,0.2292,-0.8,0.32414687,-0.92065305
0,2,0.2292,-0.8,0.36453709,-0.59367716
0,2,-0.0708,-0.8,-0.1046237,-1.0933154
0,2,-0.0708,-0.8,-0.13161422,-1.0865051
0,2,-0.0708,-0.8,0.13972762,-0.62811333
0,2,-0.0708,-0.8,-0.067001916,-1.0035019
0,2,-0.0708,-0.8,-0.018989298,-0.82306045
0,2,-0.0708,-0.8,-0.071150266,-1.0468076
0,2,-0.0708,-0.8,0.16551104,-0.86755991
0,2,-1.4708,-0.9,-1.4748479,-0.99860609
0,2,-1.4708,-0.9,-1.5243987,-0.89408058
0,2,-1.4708,-0.9,-1.4168271,-0.98188221
0,2,-1.4708,-0.9,-1.4475714,-0.90315402
0,2,-1.4708,-0.9,-1.450074,-0.92620569
0,2,-1.4708,-0.9,-1.4278103,-1.0248511
0,2,-1.4708,-0.9,-1.4041595,-1.0801578
0,2,-0.9708,-0.9,-0.87599945,-1.0724871
0,2,-0.9708,-0.9,-0.96569777,-0.92884916
0,2,-0.9708,-0.9,-1.0243634,-1.2150116
0,2,-0.9708,-0.9,-0.88356739,-0.83681214
0,2,-0.9708,-0.9,-0.96140766,-1.06091
0,2,-0.9708,-0.9,-0.8364675,-0.88761288
0,2,-0.9708,-0.9,-0.93469816,-0.86716491
0,2,-0.5708,-0.9,-0.72511768,-1.1023271
0,2,-0.5708,-0.9,-0.68350816,-0.88658887
0,2,-0.5708,-0.9,-0.68764609,-0.84368098
0,2,-0.5708,-0.9,-0.59974825,-0.95156997
0,2,-0.5708,-0.9,-0.62082249,-0.96288013
0,2,-0.5708,-0.9,-0.62408286,-0.94260514
0,2,-0.5708,-0.9,-0.57869476,-0.99677789
0,2,0.9292,-0.9,0.61862558,-1.2841172
0,2,0.9292,-0.9,0.75458091,-1.0558504
0,2,0.9292,-0.9,0.93821365,-0.82137555
0,2,0.9292,-0.9,1.0242862,-1.0138433
0,2,0.9292,-0.9,1.0389889,-0.9278475
0,2,0.9292,-0.9,0.90028954,-1.0932047
0,2,0.9292,-0.9,0.90844208,-0.94496369
0,2,1.4292,-0.9,1.3027546,-0.79740453
0,2,1.4292,-0.9,1.2794937,-1.0464467
0,2,1.4292,-0.9,1.3634664,-0.89149147
0,2,1.4292,-0.9,1.5464274,-1.0148017
0,2,1.4292,-0.9,1.7591113,-0.87130189
0,2,1.4292,-0.9,1.3707101,-0.97143817
0,2,1.4292,-0.9,1.2728546,-1.0815573
0,2,0.2292,-1,0.48285395,-1.0387839
0,2,0.2292,-1,0.38597351,-1.0402954
0,2,0.2292,-1,0.1849167,-1.0999255
0,2,0.2292,-1,0.22309493,-1.1538397
0,2,0.2292,-1,0.1652381,-1.2148459
0,2,0.2292,-1,0.76998389,-0.58680952
0,2,0.2292,-1,0.34978834,-1.0257232
0,2,-1.3708,-1,-1.3586657,-0.93673289
0,2,-1.3708,-1,-1.3662527,-1.1390196
0,2,-1.3708,-1,-1.3672528,-1.0167599
0,2,-1.3708,-1,-1.3528001,-0.89945972
0,2,-1.3708,-1,-1.3692708,-1.1920122
0,2,-1.3708,-1,-1.28359,-0.73944122
0,2,-1.3708,-1,-1.3797989,-1.3105631
0,2,0.6292,-1.1,0.18946218,-1.2944674
0,2,0.6292,-1.1,0.35538331,-1.4002508
0,2,0.6292,-1.1,0.46266994,-1.1065226
0,2,0.6292,-1.1,0.74762052,-1.079391
0,2,0.6292,-1.1,0.30465323,-1.3708768
0,2,0.6292,-1.1,0.65971142,-1.1781077
0,2,0.6292,-1.1,0.2899636,-1.2875587
0,2,1.4292,-1.2,1.7659721,-1.2911736
0,2,1.4292,-1.2,1.3382688,-1.0872698
0,2,1.4292,-1.2,1.6271331,-1.0856686
0,2,1.4292,-1.2,1.2555885,-1.1566011
0,2,1.4292,-1.2,1.3759447,-1.268532
0,2,1.4292,-1.2,1.5276866,-1.333719
0,2,1.4292,-1.2,1.7605028,-1.2271857
0,2,-0.1708,-1.2,-0.14658214,-1.0533634
0,2,-0.1708,-1.2,-0.18151289,-1.1796792
0,2,-0.1708,-1.2,-0.040332571,-1.1244236
0,2,-0.1708,-1.2,-0.12705766,-1.1876956
0,2,-0.1708,-1.2,-0.16704355,-1.2198819
0,2,-0.1708,-1.2,-0.15742019,-1.0789815
0,2,-0.1708,-1.2,-0.30782285,-1.4390242
0,2,-0.8708,-1.2,-0.95328605,-1.2522031
0,2,-0.8708,-1.2,-0.97135389,-1.322068
0,2,-0.8708,-1.2,-0.91752994,-1.260307
0,2,-0.8708,-1.2,-0.88461119,-1.2336943
0,2,-0.8708,-1.2,-0.85545039,-1.2289177
0,2,-0.8708,-1.2,-0.88559622,-1.4096372
0,2,-0.8708,-1.2,-0.87326086,-1.2561339
0,2,-0.5708,-1.3,-0.58747691,-1.1348801
