Modelname,Rotated,True,Predicted
Linear,0,-1.4425714285714286,-0.9853873977620183
Linear,1,-1.4425714285714286,-0.5949796675788295
Linear,0,-1.3784571428571428,-0.8124653120147405
Linear,1,-1.3784571428571428,-0.9636559518668665
Linear,0,-1.3784571428571428,-0.441610399218155
Linear,1,-1.3784571428571428,-0.9057851136401915
Linear,0,-1.3784571428571428,-0.9182813573989388
Linear,1,-1.3784571428571428,-0.6757069461700113
Linear,0,-1.3784571428571428,-1.096446932110309
Linear,1,-1.3784571428571428,-0.6801870460043247
Linear,0,-1.3784571428571428,-0.29495766018049807
Linear,1,-1.3784571428571428,-0.24480463639410172
Linear,0,-1.3784571428571428,-1.1849632585501726
Linear,1,-1.3784571428571428,-0.6408571200641412
Linear,0,-1.3784571428571428,-1.1256515827909952
Linear,1,-1.3784571428571428,-0.6562131868616198
Linear,0,-1.3784571428571428,-0.48284705613340223
Linear,1,-1.3784571428571428,-0.6201360023575488
Linear,0,-1.3784571428571428,-1.2547243779190707
Linear,1,-1.3784571428571428,-0.7590022401787576
Linear,0,-1.3784571428571428,-0.7113463776951848
Linear,1,-1.3784571428571428,-0.7534950415665275
Linear,0,-1.3784571428571428,-0.766816877769504
Linear,1,-1.3784571428571428,-0.4446001178966614
Linear,0,-1.3784571428571428,-1.275929989369733
Linear,1,-1.3784571428571428,-0.6441666746049461
Linear,0,-1.3784571428571428,-1.4167216450538145
Linear,1,-1.3784571428571428,-1.188475194702173
Linear,0,-1.3784571428571428,-1.027031854963131
Linear,1,-1.3784571428571428,-0.8257317344569186
Linear,0,-1.3784571428571428,-1.3034740705066103
Linear,1,-1.3784571428571428,-1.0969056688212109
Linear,0,-1.3784571428571428,-1.012390124202045
Linear,1,-1.3784571428571428,-0.8714133866413415
Linear,0,-1.3784571428571428,-1.0687738927183044
Linear,1,-1.3784571428571428,-1.0278013369585652
Linear,0,-1.3784571428571428,-1.0243385507239446
Linear,1,-1.3784571428571428,-0.6027453159300484
Linear,0,-1.3784571428571428,-1.2594349070142958
Linear,1,-1.3784571428571428,-0.5666908432530339
Linear,0,-1.3784571428571428,-1.2396985418595219
Linear,1,-1.3784571428571428,-1.1377759721023213
Linear,0,-1.3784571428571428,-0.848550071405775
Linear,1,-1.3784571428571428,-1.130241236573382
Linear,0,-1.3784571428571428,-1.398183661700122
Linear,1,-1.3784571428571428,-1.0145648226970088
Linear,0,-1.3784571428571428,-0.8071481645680855
Linear,1,-1.3784571428571428,-0.8466840142415807
Linear,0,-1.3784571428571428,-1.3068550749750876
Linear,1,-1.3784571428571428,-1.067913228854169
Linear,0,-1.3784571428571428,-0.8807225982253301
Linear,1,-1.3784571428571428,-1.124574341562931
Linear,0,-1.3784571428571428,-0.9672575838855926
Linear,1,-1.3784571428571428,-0.8290229522612392
Linear,0,-1.3784571428571428,-1.2507428815038228
Linear,1,-1.3784571428571428,-0.6711864305211793
Linear,0,-1.3784571428571428,-0.8864609845214285
Linear,1,-1.3784571428571428,-1.2195835119496077
Linear,0,-1.3784571428571428,-0.982341522941846
Linear,1,-1.3784571428571428,-0.3118281414331262
Linear,0,-1.3784571428571428,-0.711639970648766
Linear,1,-1.3784571428571428,-1.0340592670817905
Linear,0,-1.3784571428571428,-0.8356054656772254
Linear,1,-1.3784571428571428,-0.5389772173465766
Linear,0,-1.3784571428571428,-1.0210175587565058
Linear,1,-1.3784571428571428,-0.7620129581604538
Linear,0,-1.3784571428571428,-1.0857497952481823
Linear,1,-1.3784571428571428,-1.0516205463550858
Linear,0,-1.3784571428571428,-0.8577986604103807
Linear,1,-1.3784571428571428,-1.064367733728674
Linear,0,-1.3784571428571428,-0.9758556790400927
Linear,1,-1.3784571428571428,-0.5452717473923079
Linear,0,-1.3784571428571428,-0.9366006079610667
Linear,1,-1.3784571428571428,-0.8951655188795791
Linear,0,-1.3784571428571428,-0.981911928640797
Linear,1,-1.3784571428571428,-1.1809453988761014
Linear,0,-1.3784571428571428,-1.0332908363153737
Linear,1,-1.3784571428571428,-0.8322253405063387
Linear,0,-1.3784571428571428,-1.2665239544005351
Linear,1,-1.3784571428571428,-1.2526716796108037
Linear,0,-1.314342857142857,-0.8227473441979241
Linear,1,-1.314342857142857,-1.0619273984762714
Linear,0,-1.314342857142857,-0.8983553636349518
Linear,1,-1.314342857142857,-1.2165615116358113
Linear,0,-1.314342857142857,-0.5172079076555666
Linear,1,-1.314342857142857,-0.898506757270869
Linear,0,-1.314342857142857,-1.1292816036175708
Linear,1,-1.314342857142857,-0.8539135298080587
Linear,0,-1.314342857142857,-0.7222281683431652
Linear,1,-1.314342857142857,-1.0148164928840047
Linear,0,-1.314342857142857,-0.8480387697992359
Linear,1,-1.314342857142857,-0.61804594069412
Linear,0,-1.314342857142857,-0.9470410798906963
Linear,1,-1.314342857142857,-1.0143501849577061
Linear,0,-1.314342857142857,-0.3098563143363406
Linear,1,-1.314342857142857,-0.7888508875329281
Linear,0,-1.314342857142857,-0.6935300245077399
Linear,1,-1.314342857142857,-0.993590314211529
Linear,0,-1.314342857142857,-0.9848104649255857
Linear,1,-1.314342857142857,-1.0633761817331877
Linear,0,-1.314342857142857,-0.9308608315105624
Linear,1,-1.314342857142857,-0.4945663277832269
Linear,0,-1.314342857142857,-0.852051050843193
Linear,1,-1.314342857142857,-0.5008707502642021
Linear,0,-1.314342857142857,-0.6940947815190942
Linear,1,-1.314342857142857,-0.63804938796667
