Iteration,Modelname,Metricname,Result
3,kNN,Ratio of Outliers (>= 0.5 rad),0.0512820512820512
4,kNN,Mean Square Error,0.1582393036672659
4,kNN,R squared,0.3814201114796844
4,kNN,Standard Deviation of Error,0.3210280392720659
4,kNN,Standard deviation per Recording (avg),0.1336985943628653
4,kNN,Ratio of Outliers (>= 0.5 rad),0.1527313266443701
5,kNN,Mean Square Error,0.0685589967804934
5,kNN,R squared,0.7917612895617712
5,kNN,Standard Deviation of Error,0.244690790448949
5,kNN,Standard deviation per Recording (avg),0.1256145875133595
5,kNN,Ratio of Outliers (>= 0.5 rad),0.072463768115942
6,kNN,Mean Square Error,0.0521943513166163
6,kNN,R squared,0.7832254602018333
6,kNN,Standard Deviation of Error,0.2035274975195364
6,kNN,Standard deviation per Recording (avg),0.1020548342088791
6,kNN,Ratio of Outliers (>= 0.5 rad),0.0512820512820512
7,kNN,Mean Square Error,0.0517554864858596
7,kNN,R squared,0.745649200288363
7,kNN,Standard Deviation of Error,0.1782107951084634
7,kNN,Standard deviation per Recording (avg),0.1131472632609547
7,kNN,Ratio of Outliers (>= 0.5 rad),0.0445930880713489
8,kNN,Mean Square Error,0.0608178243999714
8,kNN,R squared,0.6969986444824867
8,kNN,Standard Deviation of Error,0.2136011549439965
8,kNN,Standard deviation per Recording (avg),0.1004639609252686
8,kNN,Ratio of Outliers (>= 0.5 rad),0.0468227424749163
9,kNN,Mean Square Error,0.0716607864517412
9,kNN,R squared,0.7925263046243688
9,kNN,Standard Deviation of Error,0.2243361396836467
9,kNN,Standard deviation per Recording (avg),0.1308558014024822
9,kNN,Ratio of Outliers (>= 0.5 rad),0.0802675585284281
