iteration,model_id,true_q0,true_q3,pred_q0,pred_q3
0,0,-0.9708,-0.3,-1.1608,-0.46
0,0,-0.9708,-0.3,-1.2308,-0.75
0,0,-0.9708,-0.3,-1.2208,-0.83
0,0,-0.9708,-0.3,-1.1808,-0.98
0,0,-0.9708,-0.3,-1.0108,-0.82
0,0,-0.9708,-0.3,-0.7908,-0.51
0,0,-0.9708,-0.3,-0.8008,-0.91
0,0,-0.9708,-0.3,-1.1608,-0.65
0,0,-0.9708,-0.3,-1.1008,-0.72
0,0,-0.9708,-0.3,-1.2008,-0.39
0,0,-0.9708,-0.3,-1.1108,-0.44
0,0,-0.9708,-0.3,-1.1408,-0.59
0,0,-0.9708,-0.3,-1.1608,-0.9
0,0,-0.9708,-0.3,-1.1608,-0.71
0,0,-0.9708,-0.3,-1.3108,-0.84
0,0,-0.9708,-0.3,-1.1408,-0.92
0,0,-0.9708,-0.3,-1.2008,-0.95
0,0,-0.9708,-0.3,-0.9508,-0.85
0,0,-0.9708,-0.3,-1.1008,-0.58
0,0,-0.9708,-0.3,-0.9008,-0.36
0,0,-0.9708,-0.3,-1.2408,-0.8
0,0,-0.9708,-0.3,-1.0908,-0.61
0,0,-0.9708,-0.3,-1.1008,-0.99
0,0,-0.9708,-0.3,-1.0108,-0.94
0,0,-0.9708,-0.3,-1.0508,-0.85
0,0,-0.9708,-0.3,-1.1808,-0.81
0,0,-0.9708,-0.3,-0.9708,-1.6
0,0,-0.9708,-0.3,-1.1708,-0.68
0,0,-0.9708,-0.3,-1.1008,-0.76
0,0,-0.9708,-0.3,-1.2608,-0.77
0,0,-0.9708,-0.3,-1.0408,-0.48
0,0,-0.7708,-0.3,-0.2608,-0.98
0,0,-0.7708,-0.3,-0.2708,-0.39
0,0,-0.7708,-0.3,-0.5408,-0.47
0,0,-0.7708,-0.3,-0.3608,-0.5
0,0,-0.7708,-0.3,-0.3208,-0.67
0,0,-0.7708,-0.3,-0.1708,-0.86
0,0,-0.7708,-0.3,-0.1608,-0.69
0,0,-0.7708,-0.3,-0.0208,-0.57
0,0,-0.7708,-0.3,-0.1308,-0.42
0,0,-0.7708,-0.3,-0.1008,-0.62
0,0,-0.7708,-0.3,-0.1008,-0.55
0,0,-0.7708,-0.3,0.0092,-0.37
0,0,-0.7708,-0.3,-0.2308,-0.47
0,0,-0.7708,-0.3,-0.2108,-0.49
0,0,-0.7708,-0.3,-0.0708,-0.35
0,0,-0.7708,-0.3,-0.4208,-0.82
0,0,-0.7708,-0.3,-0.5508,-0.73
0,0,-0.7708,-0.3,-0.2508,-0.51
0,0,-0.7708,-0.3,-0.3608,-0.56
0,0,-0.7708,-0.3,-0.4608,-0.8
0,0,-0.7708,-0.3,-0.4008,-0.7
0,0,-0.7708,-0.3,-0.1908,-1.08
0,0,-0.7708,-0.3,-0.2008,-0.56
0,0,-0.7708,-0.3,-0.3108,-0.51
0,0,-0.7708,-0.3,-0.2208,-0.7
0,0,-0.7708,-0.3,-0.1308,-0.54
0,0,-0.7708,-0.3,-0.2308,-0.84
0,0,-0.7708,-0.3,-0.0008,-0.52
0,0,-0.7708,-0.3,0.0892,-0.5
0,0,-0.7708,-0.3,-0.4308,-0.63
0,0,-0.7708,-0.3,0.0192,-0.78
0,0,-0.5708,-0.3,0.0092,-0.97
0,0,-0.5708,-0.3,0.2692,-1.23
0,0,-0.5708,-0.3,0.1692,-1.09
0,0,-0.5708,-0.3,0.2892,-0.84
0,0,-0.5708,-0.3,0.2592,-0.78
0,0,-0.5708,-0.3,0.1592,-0.67
0,0,-0.5708,-0.3,0.2992,-0.74
0,0,-0.5708,-0.3,0.7492,-0.94
0,0,-0.5708,-0.3,0.5592,-0.77
0,0,-0.5708,-0.3,0.4592,-0.73
0,0,-0.5708,-0.3,0.7992,-0.5
0,0,-0.5708,-0.3,0.1792,-0.97
0,0,-0.5708,-0.3,-0.2008,-0.77
0,0,-0.5708,-0.3,-0.1908,-0.74
0,0,-0.5708,-0.3,0.4992,-0.45
0,0,-0.5708,-0.3,-0.1508,-0.4
0,0,-0.5708,-0.3,0.3692,-0.42
0,0,-0.5708,-0.3,0.4292,-0.38
0,0,-0.5708,-0.3,0.3992,-0.81
0,0,-0.5708,-0.3,0.5492,-1.1
0,0,-0.5708,-0.3,-0.1008,-0.45
0,0,-0.5708,-0.3,0.2692,-0.51
0,0,-0.5708,-0.3,0.3092,-1.16
