Iteration,Modelname,Metricname,Joint,Result
0,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.2720559657986786
0,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.0
1,kNN,Mean Square Error,0,0.7914066070734552
1,kNN,Mean Square Error,3,0.03465821997668091
1,kNN,R squared,0,0.104005660585612
1,kNN,R squared,3,0.928562737140554
1,kNN,Standard Deviation of Error,0,0.8860779116832076
1,kNN,Standard Deviation of Error,3,0.1494457339219178
1,kNN,Standard deviation per Recording (avg),0,0.2967431609705508
1,kNN,Standard deviation per Recording (avg),3,0.08912596853415367
1,kNN,Ratio of Outliers (>= 0.5 rad),0,0.651379712397979
1,kNN,Ratio of Outliers (>= 0.5 rad),3,0.015157403808783521
1,Linear,Mean Square Error,0,0.452577169289613
1,Linear,Mean Square Error,3,0.016797740561515628
1,Linear,R squared,0,0.4876128424916688
1,Linear,R squared,3,0.9653766232442071
1,Linear,Standard Deviation of Error,0,0.6726394381189271
1,Linear,Standard Deviation of Error,3,0.12952090616679945
1,Linear,Standard deviation per Recording (avg),0,0.44947805658316703
1,Linear,Standard deviation per Recording (avg),3,0.11906770168157844
1,Linear,Ratio of Outliers (>= 0.5 rad),0,0.4601632335794792
1,Linear,Ratio of Outliers (>= 0.5 rad),3,0.001165954139137194
1,3-Layer FC,Mean Square Error,0,0.3852748299749252
1,3-Layer FC,Mean Square Error,3,0.010729404549918343
1,3-Layer FC,R squared,0,0.5638094707688821
1,3-Layer FC,R squared,3,0.9778846318802996
1,3-Layer FC,Standard Deviation of Error,0,0.6199551419131357
1,3-Layer FC,Standard Deviation of Error,3,0.10357509345477603
1,3-Layer FC,Standard deviation per Recording (avg),0,0.43902773352769703
1,3-Layer FC,Standard deviation per Recording (avg),3,0.09448489500209689
1,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.39720171006607075
1,3-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.0
1,4-Layer FC,Mean Square Error,0,0.35091542203355824
1,4-Layer FC,Mean Square Error,3,0.009981938172942368
1,4-Layer FC,R squared,0,0.6027096198779951
