Iteration,Modelname,Metricname,Joint,Result
0,4-Channel CNN,Standard deviation per Recording (avg),3,0.17155423244604698
0,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.3299650213758259
0,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.000777302759424796
1,kNN,Mean Square Error,0,0.9444920715118539
1,kNN,Mean Square Error,3,0.11456700349786243
1,kNN,R squared,0,-0.03425238759476246
1,kNN,R squared,3,0.7697362331961798
1,kNN,Standard Deviation of Error,0,0.9718423406391895
1,kNN,Standard Deviation of Error,3,0.31426768560466456
1,kNN,Standard deviation per Recording (avg),0,0.28655748412964865
1,kNN,Standard deviation per Recording (avg),3,0.1398521335255313
1,kNN,Ratio of Outliers (>= 0.5 rad),0,0.6809172172561213
1,kNN,Ratio of Outliers (>= 0.5 rad),3,0.14846482705013603
1,Linear,Mean Square Error,0,0.7496812478896613
1,Linear,Mean Square Error,3,0.03312982935776399
1,Linear,R squared,0,0.17907238826919913
1,Linear,R squared,3,0.9334136438191049
1,Linear,Standard Deviation of Error,0,0.8657683010305929
1,Linear,Standard Deviation of Error,3,0.181562256006269
1,Linear,Standard deviation per Recording (avg),0,0.40465558939813817
1,Linear,Standard deviation per Recording (avg),3,0.1701191117387559
1,Linear,Ratio of Outliers (>= 0.5 rad),0,0.6144578313253012
1,Linear,Ratio of Outliers (>= 0.5 rad),3,0.006218422075398368
1,3-Layer FC,Mean Square Error,0,0.7601203903768936
1,3-Layer FC,Mean Square Error,3,0.022658550354697132
1,3-Layer FC,R squared,0,0.16764115621599662
1,3-Layer FC,R squared,3,0.9544594604406849
1,3-Layer FC,Standard Deviation of Error,0,0.8717375975630064
1,3-Layer FC,Standard Deviation of Error,3,0.15048321495135084
1,3-Layer FC,Standard deviation per Recording (avg),0,0.5143217242189816
1,3-Layer FC,Standard deviation per Recording (avg),3,0.14362137640515962
1,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.5899727944034201
1,3-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.00194325689856199
1,4-Layer FC,Mean Square Error,0,0.7389887225450817
1,4-Layer FC,Mean Square Error,3,0.02154819102549513
1,4-Layer FC,R squared,0,0.1907810835569711
1,4-Layer FC,R squared,3,0.9566911284938044
1,4-Layer FC,Standard Deviation of Error,0,0.8594790602366004
1,4-Layer FC,Standard Deviation of Error,3,0.14637451010458888
1,4-Layer FC,Standard deviation per Recording (avg),0,0.4821949984346117
1,4-Layer FC,Standard deviation per Recording (avg),3,0.1279541396846374
1,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.5767586474931986
1,4-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.000388651379712398
1,5-Layer FC,Mean Square Error,0,0.7258696494018009
1,5-Layer FC,Mean Square Error,3,0.02521519025594764
1,5-Layer FC,R squared,0,0.20514693492907365
1,5-Layer FC,R squared,3,0.9493209692866077
1,5-Layer FC,Standard Deviation of Error,0,0.8517997660615279
1,5-Layer FC,Standard Deviation of Error,3,0.15829735103609066
1,5-Layer FC,Standard deviation per Recording (avg),0,0.45475382464272635
1,5-Layer FC,Standard deviation per Recording (avg),3,0.12721544814606509
1,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.5806451612903226
